TikTok Link,Transcript,Available
https://www.tiktok.com/@chou.zi.chu.pdg.t/video/7562499042698202390,"Last minute information in Côte d'Ivoire
the elections have just been postponed
to add the name of Laurent Gbagbo to the electoral list
after several days of intense manipulation
Alassane Ouattara has just announced as a matter
of urgency the postponement of the elections
and intends to select the voters list
to the name of Laurent Gbagbo
this surprise decision totally upsets the Ivorian political landscape
Gbagbo supporters cry victory for the people
and welcome 1 long- act of justice
while on the side of power
some speak of a political
to calm the growing social tension
in several cities across the country
crowds are already gathering to celebrate this new
the return of Gbagbo's name to the voters' list
holds out hope for a more inclusive election
and a true national reconciliation
Côte d'Ivoire enters a decisive new political era",yes
https://www.tiktok.com/@rhdp_officiel/video/7561210671707245836,"dear compatriots
I am at the salouata
I have solutions for you
yes my program of
government will take care of all Ivorians
without exception
Ivory Coast wants peace
My ambition is that you can bring
your contribution
to the development of our nation
haha
our proposals were refused
the big brokers imposed their prices
what do we have for them
asked from the moment they themselves
set a price that does not compensate the farmer's work
I remember when I was the first minister
of President Félix Soufoi-boigny
his dream was to reach
the figure of 1000 francs of of cocoa
and dear dad we made it
so you can be proud of us
when you look in all the countries of the world
great nations have been built
first from the peasant world
and to get there
we must not leave the farmers aside
it is necessary to accompany them with courageous reforms
I will make sure that there is
1 new case for cotton and natale
and the reforms that we
have recently undertaken in the agricultural sector
in reality
have enabled our sector
of exit from its lethargy of endon
it has indeed allowed to boost the productions
but also and especially
to be able to give remunerative prices to our producers
whether it is in the major export channels
and we have seen it recently with the prices of coffee and cocoa
cocoa well dried and well shouted
1 set atdeux-mille-huit-cents francs per kilogram
it is in all sectors that in reality
prices have increased to the producer
and it allows them to have the income
and it especially gives the incentive to these producers to
continue to work in the agricultural sector
to continue to improve their performance
so that when finished
it is the Ivorian consumer who has the choice of
agricultural products that are put to their
market availability
and at 1 slightest stroke
we will go further in food sovereignty
and for the earth to stay 1 chance for all
young women and rural communities
we will build 1 more inclusive agriculture
and more resilient
my dears
this is our ambition
1 great Ivory Coast that dares
that innovates and produces
1 great nation that brings together reassures and protects
I invite you to go out number of Saturday 25/10
to vote in peace
vote backwards so that together
we were building
1 great country I thank you",yes
https://www.tiktok.com/@kadyjasminedoumbi/video/7561763277387074827,No transcript available,no
https://www.tiktok.com/@pays.du.monde12/video/7529956101681319190,"Country Côte d'Ivoire,
capital Yamousucro,
area,
trois-cent-vingt-deux-mille-quatre-cent-soixante-deux
square kilometers continent Africa,
Ivorian or Ivorian Gentile Largest city,
Abidjan boake yamusukro d'aloha San Pedro,
president Alassane watara independence 07/08 mille-neuf-cent-soixante Official
language French Motto the union makes the nation,
telephone code,
deux-cent-vingt-cinq population,
approximately inhabitants Richest person,
Jeanou Diagou,
most spoken language,
dioula CFA franc currency,
gross domestic product GDP,
approximately 70 billion US dollars.
Favorite food,
Athiéké foutou garba Popular personality,
Didier Drogba,
asalfo,
Muriel Aouré.
Natural resources,
cocoa, oil,
gold,
coffee,
rubber Famous place,
basil,
our lady of peace,
grand Bassam national park,
Abidjan pyramid,
Banco park.
If you like this type of content,
subscribe quickly.",yes
https://www.tiktok.com/@cote.divoire.demain/video/7562575404993711372,"the youth of Côte d'Ivoire is in the process of demonstrating
because our constitution is violated
the youth of Côte d'Ivoire is in the process of demonstrating
because our constitution is violated",yes
https://www.tiktok.com/@kaneibrahim0/video/7562504728907681080,No transcript available,no
https://www.tiktok.com/@cotedivoire220/video/7562318331294895363,"At the very moment in adjamy mosque,
look what is happening here now.",yes
https://www.tiktok.com/@nick.ton.pre6/video/7562242814927588630,"Today 17/10 deux-mille-vingt-cinq,
the march continues in Côte d'Ivoire.
We just learned that huge crazy people
are still out in the streets of Abidjan.
The people shout too much is too much and demand real change,
justice and freedom everywhere.
Only 1 voice rises,
the people have already chosen their president.
Share this video as much as possible
so that the whole world sees the truth of the Ivorian street.",yes
https://www.tiktok.com/@sans.tabous70/video/7560029806977617154,No transcript available,no
https://www.tiktok.com/@vitefaitbara01/video/7562575902249569558,"The news of the ins of this 18/10deux-mille-vingt-cinq,
The national television RTI makes the propaganda of Terreaux Terreaux,
Yes,
me quickly,
it does not fall to me that I see RTI make the propaganda of Terreaux Terreaux,
We saw Wassim Nas who tells us that the military
of alassandraman watra and then Terreaux Terreaux,
there they avoid each other,
Yes,
in the borders,
they avoid each other,
the military of Alassane Draman watera and then terrottero,
they avoid each other,
We saw hold Draman watera who left,
the son of alacendraman watra who left for Turkey,
Go tell the Minister of Defense sorry to stop selling arms in Burkina Faso.
But I'm not surprised today if people tell me no,
yes,
terroteros are housed,
hey, fed.
Financed by theial regime of Côte d'Ivoire.
I'm not surprised.
Today,
RTI is making propaganda ads for Terreaux Terreaux.
Let's follow this video all together and very carefully.
The top family,
We're gone,
News.
The group used the weapons of Malian forces to commit war crimes.
What does the report of the global
initiative against transnational organized crime say?
The Russian paramilitary group operated in
Mali from Decemberdeux-mille-vingt-et-un,
it was replaced last June by Africa copse.
Attached to the Russian Defense Ministry,
jitok researchers accuse anyone of hijacking their Malian
jitok partner's weapons also point to violations of arms trade law.",yes
https://www.tiktok.com/@maguineedabord_224/video/7562529375233608982,No transcript available,no
https://www.tiktok.com/@dlice085/video/7562527915578035478,"It's over for Alassane watara The UN has just decided,
Laurent Bagbo will be a candidate for the presidential elections
in Côte d'Ivoire It's official,
Laurent Bagbo is the favorite candidate and accepted by Ivorians If you agree,
subscribe to be always informed.
Ivorians are always present for gagbo in the streets
and cities The demonstrations will never stop.
The UN has all seen Alassane Watara's plans to fly.
1 new mandate It won't happen They failed whether bakbo will be the president of
Côte d'Ivoire Kalsan watara wants or doesn't want Vive la Côte d'Ivoire,
viva la Côte d'Ivoire Subscribe for more information
videos about Côte d'Ivoire.",yes
https://www.tiktok.com/@nick.tamer79/video/7562609193191116055,"The Ivorian people have suffered too much,
but today they stand up,
their hearts are beating for the truth,
for justice,
and this heart is beating with Fr.
P. A. C.
I.
By Laurent Bagbo Subscribe,
share Ivory Coast wakes up.",yes
https://www.tiktok.com/@mister.booba0/video/7514667677529459990,"But baby, we both know this is not our time.
No, I don't care about the money.
Cause I don't want to still be loved.
And all I care about is you, boo.
It's like I'm here. Like I'm the Superman.",yes
https://www.tiktok.com/@helloooolaulau/video/7545941718676327702,"Ah well,
that's it,
we agree,
soon if you have time.
We
is in this camp and we told him,
uh.",yes
https://www.tiktok.com/@ahhkader/video/7561558041049435403,No transcript available,no
https://www.tiktok.com/@manepoke/video/7535709787502284046,No transcript available,no
https://www.tiktok.com/@lemediapositif.afrique/video/7494356981004668182,"You there it seems you have neither eh translation
you are cheap you are stingy.
Welcome to the Ivory Coast.
Where your behavior can betray your ethnic group cuckoo is kawaii certified cultural
explorer and today we go in the stereotypes Medina with us annies we say that they
are stingy not to lend them your money eh otherwise you will cry dry.
But in real life it's mostly from their culture
of savings and financial prosperity.
They are just good strategists.
BT by people is killed the accent eh?
It is said that they like to talk too much,
especially for nothing,
but the truth is that their tradition is based on speech.
The baoulés that they like bluff.
Yeah always married to 1 European somewhere but it's just the open-mindedness
and their massive presence in the big cities that play.
Ah the didas we say 2 who are tricky calculating even 1 little wizard
for some but in real it is just bosses of the resourcefulness and the
yakubas we say they have big head way and you it is what?
The strongest ethnic grouping in your home?
Balance in comment but we respect each other here it is not palable.",yes
https://www.tiktok.com/@eagleeyeproduction1/video/7464335397905091856,No transcript available,no
https://www.tiktok.com/@fenixtv96/video/7560292083915820310,No transcript available,no
https://www.tiktok.com/@yelaoff/video/7562699683345386774,"balai would have been seen in Belgium.
I told you for a long time that she is not in Ivory Coast,
she can't stay in Ivory Coast and do that.
It has to be.
We catch it
because there is what is called triangulation,
there is the tracking of IPN addresses and metadata,
that is,
the videos she makes,
if she is in Côte d'Ivoire and had published,
despite the fact that it is hidden,
the video,
where she published it,
every video,
there are what we call traces.
In fact,
it allows.
As soon as the inspectors take the video,
they will analyze the video,
they will be able to find out where the video was produced,
where it was published.
So she can be geolocated,
it can only take longer,
but it can be found.
What she is doing here,
she is so confident to do so,
simply because it is no longer in Ivory Coast.
There is what is called metadata analysis and geolocation of media,
This is also called requisitioning from hosting platforms,
there is also called facial recognition and advanced video analysis.
If everything I just told you before doesn't work out,
there's this too.
There is also what is called social network surveillance
and real-time monitoring.
Are you playing with the state of Côte d'Ivoire?
We told you,
material level,
technical level,
eh, they are.
Very very advanced,
you know in Africa,
they have to see why.
Well,
you'll see too,
you will know that the Ivory Coast aims to be developed.
1 developed country takes example from other developed countries.
So in terms of technology,
this is the Ivory Coast,
it wants everything
and is currently very very advanced.
You who think you are hidden,
are not?
Hide that no,
she is in Ivory Coast,
she is hidden by Ivorians!
Mdr !
Anything!
Long live the Ivory Coast,
long live the president will vote!
Long live the rule of law!",yes
